Country,Latitude,Longitude
Argentina,-34.9964963,-64.9672817
Portugal,39.6621648,-8.1353519
Poland,52.215933,19.134422
Brazil,-10.3333333,-53.2
Belgium,50.6402809,4.6667145
France,46.603354,1.8883335
Netherlands,52.2434979,5.6343227
Senegal,14.4750607,-14.4529612
Egypt,26.2540493,29.2675469
Spain,39.3260685,-4.8379791
England,52.5310214,-1.2649062
Germany,51.1638175,10.4478313
Scotland,56.7861112,-4.1140518
Italy,42.6384261,12.674297
Uruguay,-32.8755548,-56.0201525
Croatia,45.3658443,15.6575209
Gabon,-0.8999695,11.6899699
Korea Republic,36.638392,127.6961188
Serbia,44.0243229,21.0765743
Slovakia,48.7411522,19.4528646
Morocco,28.3347722,-10.3713379
Bosnia Herzegovina,44.3053476,17.5961467
Denmark,55.670249,10.3333283
Algeria,28.0000272,2.9999825
Norway,64.5731537,11.5280364
Nigeria,9.6000359,7.9999721
Ghana,8.0300284,-1.0800271
Mexico,23.6585116,-102.0077097
Austria,47.59397,14.12456
Slovenia,46.1199444,14.8153333
Switzerland,46.7985624,8.2319736
Greece,38.9953683,21.9877132
Cameroon,4.6125522,13.1535811
Sweden,59.6749712,14.5208584
Wales,52.2928116,-3.73893
Chile,-31.7613365,-71.3187697
Ivory Coast,7.9897371,-5.5679458
Colombia,4.099917,-72.9088133
Togo,8.7800265,1.0199765
Russia,64.6863136,97.7453061
Canada,61.0666922,-107.991707
United States,39.7837304,-100.445882
Czech Republic,49.7439047,15.3381061
Guinea,10.7226226,-10.7083587
Montenegro,-29.6826112,-51.4687455
Venezuela,8.0018709,-66.1109318
Ukraine,49.4871968,31.2718321
Republic of Ireland,52.865196,-7.9794599
Israel,30.8124247,34.8594762
Jamaica,18.1850507,-77.3947693
Turkey,39.294076,35.2316631
Northern Ireland,54.5859836,-6.9591554
China PR,-16.6913897,-70.7136479
Armenia,4.536307,-75.6723751
DR Congo,-2.9814344,23.8222636
Ecuador,-1.3397668,-79.3666965
Kosovo,42.5869578,20.9021231
North Macedonia,41.6171214,21.7168387
Hungary,47.1817585,19.5060937
Central African Republic,7.0323598,19.9981227
Iceland,64.9841821,-18.1059013
Peru,-6.8699697,-75.0458515
Mali,16.3700359,-2.2900239
Burkina Faso,12.0753083,-1.6880314
Paraguay,-23.3165935,-58.1693445
Albania,5.7587654,-73.9151617
Romania,45.9852129,24.6859225
New Zealand,-41.5000831,172.8344077
Japan,36.5748441,139.2394179
Cape Verde,16.0000552,-24.0083947
Tunisia,36.8002068,10.1857757
Angola,-11.8775768,17.5691241
Dominican Republic,19.0974031,-70.3028026
Syria,34.8147886,38.4231781
Iran,32.6475314,54.5643516
Zambia,-14.5189121,27.5589884
Equatorial Guinea,1.613172,10.5170357
Tanzania,-6.5247123,35.7878438
Kenya,1.4419683,38.4313975
Finland,63.2467777,25.9209164
Australia,-24.7761086,134.755
Honduras,15.2572432,-86.0755145
Guinea Bissau,11.815215,-15.2351044
Zimbabwe,-18.4554963,29.7468414
South Africa,-28.8166236,24.991639
Iraq,33.0955793,44.1749775
Madagascar,-18.9249604,46.4416422
Moldova,47.2879608,28.5670941
Cuba,23.0131338,-80.8328748
Mozambique,-19.302233,34.9144977
Gambia,13.470062,-15.4900464
Cyprus,34.9174159,32.8899027
Estonia,58.7523778,25.3319078
Benin,9.5293472,2.2584408
Congo,-2.9814344,23.8222636
Costa Rica,10.2735633,-84.0739102
Saudi Arabia,25.6242618,42.3528328
Liberia,5.7499721,-9.3658524
Bulgaria,42.6073975,25.4856617
Panama,8.559559,-81.1308434
Libya,26.8234472,18.1236723
Georgia,32.3293809,-83.1137366
Sierra Leone,8.6400349,-11.8400269
Uzbekistan,41.32373,63.9528098
Saint Kitts and Nevis,17.250512,-62.6725973
United Arab Emirates,24.0002488,53.9994829
Comoros,-12.2045176,44.2832964
Chad,15.6134137,19.0156172
Namibia,-23.2335499,17.3231107
Thailand,14.8971921,100.83273
Bermuda,32.3040273,-64.7563086
Luxembourg,49.6112768,6.129799
Trinidad & Tobago,10.7466905,-61.0840075
Antigua & Barbuda,17.2234721,-61.9554608
Burundi,-3.426449,29.9324519
Kazakhstan,48.1012954,66.7780818
New Caledonia,-20.6378428,161.2117626
Puerto Rico,18.2247706,-66.4858295
Bolivia,-17.0568696,-64.9912286
Curacao,12.1176488,-68.9309263
Eritrea,15.9500319,37.9999668
Montserrat,16.7417041,-62.1916844
São Tomé & Príncipe,0.3264119,6.7300945
Malawi,-13.2687204,33.9301963
Mauritania,20.2540382,-9.2399263
El Salvador,13.8000382,-88.9140683
Haiti,19.1399952,-72.3570972
Uganda,1.5333554,32.2166578
Chinese Taipei,31.5203374,74.3519959
Aruba,12.5013629,-69.9618475
Faroe Islands,62.1988704,-6.8178451
Guyana,4.8417097,-58.6416891
Azerbaijan,40.3936294,47.7872508
Lithuania,55.3500003,23.7499997
Afghanistan,33.7680065,66.2385139
Sudan,34.0678644,-102.524362
Guam,13.4499943,144.7651677
Belarus,53.4250605,27.6971358
Philippines,12.7503486,122.7312101
Rwanda,-1.9646631,30.0644358
Grenada,12.1360374,-61.6904045
Palestine,31.7621153,-95.6307891
Lebanon,40.375713,-76.4626118
Latvia,56.8406494,24.7537645
Papua New Guinea,-5.6816069,144.2489081
Jordan,44.6663146,-93.6261918
Saint Lucia,13.8250489,-60.975036
Liechtenstein,47.1416307,9.5531527
Ethiopia,10.2116702,38.6521203
India,22.3511148,78.6677428
Belize,17.1204943,-88.6859028
Niger,17.7356214,9.3238432
Malta,35.8885993,14.4476911
Andorra,42.5407167,1.5732033
Barbados,13.1500331,-59.5250305
South Sudan,7.8699431,29.6667897
Macau,22.1757605,113.5514142
Hong Kong,22.350627,114.1849161
Malaysia,4.5693754,102.2656823
Indonesia,-2.4833826,117.8902853
Nicaragua,12.6090157,-85.2936911
